secCode,edinetCode,filerName,docID,docTypeCode,submitDateTime,periodStart,periodEnd,docDescription,DescriptionOfBusiness_file,DescriptionOfBusiness_length,BusinessRisks_file,BusinessRisks_length,BusinessPolicyEtc_file,BusinessPolicyEtc_length,EdinetInfo_file,EdinetInfo_length
17240,E05326,シンクレイヤ株式会社,S100QI8D,120,2023-03-31 13:06:00,2022-01-01,2022-12-31,有価証券報告書－第61期(2022/01/01－2022/12/31),/1/17240/2023/DescriptionOfBusiness,1741,/1/17240/2023/BusinessRisks,5010,/1/17240/2023/BusinessPolicyEtc,2476,/1/17240/2023/EdinetInfo,980
17260,E00312,株式会社ビーアールホールディングス,S100QY0V,120,2023-06-19 09:24:00,2022-04-01,2023-03-31,有価証券報告書－第21期(2022/04/01－2023/03/31),/1/17260/2023/DescriptionOfBusiness,676,/1/17260/2023/BusinessRisks,2214,/1/17260/2023/BusinessPolicyEtc,5506,/1/17260/2023/EdinetInfo,1021
17300,E00308,麻生フオームクリート株式会社,S100R6I9,120,2023-06-27 16:02:00,2022-04-01,2023-03-31,有価証券報告書－第62期(2022/04/01－2023/03/31),/1/17300/2023/DescriptionOfBusiness,2450,/1/17300/2023/BusinessRisks,1645,/1/17300/2023/BusinessPolicyEtc,2736,/1/17300/2023/EdinetInfo,1005
17340,E00306,株式会社北弘電社,S100R8K7,120,2023-06-29 15:45:00,2022-04-01,2023-03-31,有価証券報告書－第73期(2022/04/01－2023/03/31),/1/17340/2023/DescriptionOfBusiness,894,/1/17340/2023/BusinessRisks,1826,/1/17340/2023/BusinessPolicyEtc,3622,/1/17340/2023/EdinetInfo,969
17360,E00304,株式会社　オーテック,S100QXFG,120,2023-06-29 15:25:00,2022-04-01,2023-03-31,有価証券報告書－第75期(2022/04/01－2023/03/31),/1/17360/2023/DescriptionOfBusiness,1082,/1/17360/2023/BusinessRisks,2588,/1/17360/2023/BusinessPolicyEtc,3067,/1/17360/2023/EdinetInfo,981
17380,E05065,株式会社ニットー,S100QY7S,120,2023-06-19 11:13:00,2022-04-01,2023-03-31,有価証券報告書－第50期(2022/04/01－2023/03/31),/1/17380/2023/DescriptionOfBusiness,610,/1/17380/2023/BusinessRisks,2515,/1/17380/2023/BusinessPolicyEtc,3498,/1/17380/2023/EdinetInfo,968
17390,E00302,株式会社メルディアＤＣ,S100RUUQ,120,2023-09-19 11:37:00,2022-07-01,2023-06-30,有価証券報告書－第30期(2022/07/01－2023/06/30),/1/17390/2023/DescriptionOfBusiness,1045,/1/17390/2023/BusinessRisks,6091,/1/17390/2023/BusinessPolicyEtc,1588,/1/17390/2023/EdinetInfo,986
17430,E00299,コーアツ工業株式会社,S100SIJE,120,2023-12-21 15:46:00,2022-10-01,2023-09-30,有価証券報告書－第65期(2022/10/01－2023/09/30),/1/17430/2023/DescriptionOfBusiness,516,/1/17430/2023/BusinessRisks,1037,/1/17430/2023/BusinessPolicyEtc,1185,/1/17430/2023/EdinetInfo,980
17570,E00288,株式会社創建エース,S100R6QC,120,2023-06-28 12:06:00,2022-04-01,2023-03-31,有価証券報告書－第59期(2022/04/01－2023/03/31),/1/17570/2023/DescriptionOfBusiness,1067,/1/17570/2023/BusinessRisks,2864,/1/17570/2023/BusinessPolicyEtc,2016,/1/17570/2023/EdinetInfo,974
17580,E00287,太洋基礎工業株式会社,S100QN33,120,2023-04-24 14:53:00,2022-02-01,2023-01-31,有価証券報告書－第56期(2022/02/01－2023/01/31),/1/17580/2023/DescriptionOfBusiness,652,/1/17580/2023/BusinessRisks,1663,/1/17580/2023/BusinessPolicyEtc,2139,/1/17580/2023/EdinetInfo,980
17620,E00285,株式会社髙松コンストラクショングループ,S100QZBE,120,2023-06-22 09:42:00,2022-04-01,2023-03-31,有価証券報告書－第58期(2022/04/01－2023/03/31),/1/17620/2023/DescriptionOfBusiness,771,/1/17620/2023/BusinessRisks,2274,/1/17620/2023/BusinessPolicyEtc,1536,/1/17620/2023/EdinetInfo,1034
17640,E00282,工藤建設株式会社,S100RXVJ,120,2023-09-29 09:56:00,2022-07-01,2023-06-30,有価証券報告書－第52期(2022/07/01－2023/06/30),/1/17640/2023/DescriptionOfBusiness,507,/1/17640/2023/BusinessRisks,3209,/1/17640/2023/BusinessPolicyEtc,2102,/1/17640/2023/EdinetInfo,968
17660,E00281,東建コーポレーション株式会社,S100RH95,120,2023-07-28 10:30:00,2022-05-01,2023-04-30,有価証券報告書－第47期(2022/05/01－2023/04/30),/1/17660/2023/DescriptionOfBusiness,1945,/1/17660/2023/BusinessRisks,1849,/1/17660/2023/BusinessPolicyEtc,381,/1/17660/2023/EdinetInfo,1004
17680,E00279,株式会社ソネック,S100QZX3,120,2023-06-23 11:21:00,2022-04-01,2023-03-31,有価証券報告書－第83期(2022/04/01－2023/03/31),/1/17680/2023/DescriptionOfBusiness,744,/1/17680/2023/BusinessRisks,3580,/1/17680/2023/BusinessPolicyEtc,1069,/1/17680/2023/EdinetInfo,968
17700,E00277,藤田エンジニアリング株式会社,S100R8R6,120,2023-06-29 15:30:00,2022-04-01,2023-03-31,有価証券報告書－第60期(2022/04/01－2023/03/31),/1/17700/2023/DescriptionOfBusiness,731,/1/17700/2023/BusinessRisks,1917,/1/17700/2023/BusinessPolicyEtc,1313,/1/17700/2023/EdinetInfo,1005
17710,E00276,日本乾溜工業株式会社,S100SI30,120,2023-12-21 14:28:00,2022-10-01,2023-09-30,有価証券報告書－第86期(2022/10/01－2023/09/30),/1/17710/2023/DescriptionOfBusiness,566,/1/17710/2023/BusinessRisks,2200,/1/17710/2023/BusinessPolicyEtc,948,/1/17710/2023/EdinetInfo,980
17750,E00273,富士古河Ｅ＆Ｃ株式会社,S100R10F,120,2023-06-22 15:34:00,2022-04-01,2023-03-31,有価証券報告書－第113期(2022/04/01－2023/03/31),/1/17750/2023/DescriptionOfBusiness,776,/1/17750/2023/BusinessRisks,2013,/1/17750/2023/BusinessPolicyEtc,1796,/1/17750/2023/EdinetInfo,987
17760,E00272,三井住建道路株式会社,S100R2LS,120,2023-06-29 15:01:00,2022-04-01,2023-03-31,有価証券報告書－第76期(2022/04/01－2023/03/31),/1/17760/2023/DescriptionOfBusiness,370,/1/17760/2023/BusinessRisks,1114,/1/17760/2023/BusinessPolicyEtc,1031,/1/17760/2023/EdinetInfo,981
17770,E00271,川崎設備工業株式会社,S100R7SI,120,2023-06-29 11:06:00,2022-04-01,2023-03-31,有価証券報告書－第96期(2022/04/01－2023/03/31),/1/17770/2023/DescriptionOfBusiness,349,/1/17770/2023/BusinessRisks,1734,/1/17770/2023/BusinessPolicyEtc,1524,/1/17770/2023/EdinetInfo,980
17800,E00268,株式会社　ヤマウラ,S100RHKW,120,2023-07-31 14:04:00,2022-04-01,2023-03-31,有価証券報告書－第64期(2022/04/01－2023/03/31),/1/17800/2023/DescriptionOfBusiness,996,/1/17800/2023/BusinessRisks,2629,/1/17800/2023/BusinessPolicyEtc,3075,/1/17800/2023/EdinetInfo,974
17830,E00263,株式会社アジアゲートホールディングス,S100SJVK,120,2023-12-27 16:26:00,2022-10-01,2023-09-30,有価証券報告書－第78期(2022/10/01－2023/09/30),/1/17830/2023/DescriptionOfBusiness,368,/1/17830/2023/BusinessRisks,1878,/1/17830/2023/BusinessPolicyEtc,1598,/1/17830/2023/EdinetInfo,1028
17860,E36102,オリエンタル白石株式会社,S100R0FO,120,2023-06-23 14:17:00,2022-04-01,2023-03-31,有価証券報告書－第72期(2022/04/01－2023/03/31),/1/17860/2023/DescriptionOfBusiness,1006,/1/17860/2023/BusinessRisks,2427,/1/17860/2023/BusinessPolicyEtc,2935,/1/17860/2023/EdinetInfo,992
17870,E00260,株式会社ナカボーテック,S100R7VN,120,2023-06-30 09:01:00,2022-04-01,2023-03-31,有価証券報告書－第80期(2022/04/01－2023/03/31),/1/17870/2023/DescriptionOfBusiness,4470,/1/17870/2023/BusinessRisks,1242,/1/17870/2023/BusinessPolicyEtc,722,/1/17870/2023/EdinetInfo,985
17880,E00259,株式会社三東工業社,S100RWFB,120,2023-09-25 10:34:00,2022-07-01,2023-06-30,有価証券報告書－第69期(2022/07/01－2023/06/30),/1/17880/2023/DescriptionOfBusiness,852,/1/17880/2023/BusinessRisks,1415,/1/17880/2023/BusinessPolicyEtc,1627,/1/17880/2023/EdinetInfo,974
17890,E00258,株式会社ＥＴＳホールディングス,S100SHU3,120,2023-12-26 15:07:00,2022-10-01,2023-09-30,有価証券報告書－第108期(2022/10/01－2023/09/30),/1/17890/2023/DescriptionOfBusiness,598,/1/17890/2023/BusinessRisks,1826,/1/17890/2023/BusinessPolicyEtc,1222,/1/17890/2023/EdinetInfo,1011
17930,E00255,株式会社大本組,S100R66M,120,2023-06-28 09:04:00,2022-04-01,2023-03-31,有価証券報告書－第86期(2022/04/01－2023/03/31),/1/17930/2023/DescriptionOfBusiness,363,/1/17930/2023/BusinessRisks,2981,/1/17930/2023/BusinessPolicyEtc,2475,/1/17930/2023/EdinetInfo,961
17950,E00254,株式会社マサル,S100SJCS,120,2023-12-26 15:59:00,2022-10-01,2023-09-30,有価証券報告書－第68期(2022/10/01－2023/09/30),/1/17950/2023/DescriptionOfBusiness,437,/1/17950/2023/BusinessRisks,1180,/1/17950/2023/BusinessPolicyEtc,1893,/1/17950/2023/EdinetInfo,962
17980,E00251,株式会社守谷商会,S100R33Y,120,2023-06-26 10:00:00,2022-04-01,2023-03-31,有価証券報告書－第69期(2022/04/01－2023/03/31),/1/17980/2023/DescriptionOfBusiness,334,/1/17980/2023/BusinessRisks,2214,/1/17980/2023/BusinessPolicyEtc,2403,/1/17980/2023/EdinetInfo,968
17990,E00250,第一建設工業株式会社,S100R31E,120,2023-06-26 10:00:00,2022-04-01,2023-03-31,有価証券報告書－第81期(2022/04/01－2023/03/31),/1/17990/2023/DescriptionOfBusiness,371,/1/17990/2023/BusinessRisks,1433,/1/17990/2023/BusinessPolicyEtc,1560,/1/17990/2023/EdinetInfo,980
18010,E00052,大成建設株式会社,S100R0RE,120,2023-06-28 13:12:00,2022-04-01,2023-03-31,有価証券報告書－第163期(2022/04/01－2023/03/31),/1/18010/2023/DescriptionOfBusiness,942,/1/18010/2023/BusinessRisks,7541,/1/18010/2023/BusinessPolicyEtc,2761,/1/18010/2023/EdinetInfo,969
18020,E00055,株式会社大林組,S100R95O,120,2023-06-29 15:42:00,2022-04-01,2023-03-31,有価証券報告書－第119期(2022/04/01－2023/03/31),/1/18020/2023/DescriptionOfBusiness,970,/1/18020/2023/BusinessRisks,3939,/1/18020/2023/BusinessPolicyEtc,2840,/1/18020/2023/EdinetInfo,964
18030,E00053,清水建設株式会社,S100R7BX,120,2023-06-29 14:48:00,2022-04-01,2023-03-31,有価証券報告書－第121期(2022/04/01－2023/03/31),/1/18030/2023/DescriptionOfBusiness,752,/1/18030/2023/BusinessRisks,6513,/1/18030/2023/BusinessPolicyEtc,5840,/1/18030/2023/EdinetInfo,970
18050,E00063,飛島建設株式会社,S100RA9I,120,2023-06-30 10:00:00,2022-04-01,2023-03-31,有価証券報告書－第80期(2022/04/01－2023/03/31),/1/18050/2023/DescriptionOfBusiness,536,/1/18050/2023/BusinessRisks,1308,/1/18050/2023/BusinessPolicyEtc,2183,/1/18050/2023/EdinetInfo,968
18070,E00167,株式会社佐藤渡辺,S100R5K5,120,2023-06-28 13:44:00,2022-04-01,2023-03-31,有価証券報告書－第92期(2022/04/01－2023/03/31),/1/18070/2023/DescriptionOfBusiness,663,/1/18070/2023/BusinessRisks,1093,/1/18070/2023/BusinessPolicyEtc,1800,/1/18070/2023/EdinetInfo,968
18080,E00090,株式会社　長谷工コーポレーション,S100R9ZC,120,2023-06-29 16:27:00,2022-04-01,2023-03-31,有価証券報告書－第106期(2022/04/01－2023/03/31),/1/18080/2023/DescriptionOfBusiness,1173,/1/18080/2023/BusinessRisks,5590,/1/18080/2023/BusinessPolicyEtc,4137,/1/18080/2023/EdinetInfo,1018
18100,E00064,松井建設株式会社,S100R79M,120,2023-06-30 09:03:00,2022-04-01,2023-03-31,有価証券報告書－第94期(2022/04/01－2023/03/31),/1/18100/2023/DescriptionOfBusiness,559,/1/18100/2023/BusinessRisks,1491,/1/18100/2023/BusinessPolicyEtc,1205,/1/18100/2023/EdinetInfo,967
18110,E00069,株式会社錢高組,S100R5E4,120,2023-06-27 15:14:00,2022-04-01,2023-03-31,有価証券報告書－第92期(2022/04/01－2023/03/31),/1/18110/2023/DescriptionOfBusiness,272,/1/18110/2023/BusinessRisks,1639,/1/18110/2023/BusinessPolicyEtc,1761,/1/18110/2023/EdinetInfo,962
18120,E00058,鹿島建設株式会社,S100R2GR,120,2023-06-29 10:54:00,2022-04-01,2023-03-31,有価証券報告書－第126期(2022/04/01－2023/03/31),/1/18120/2023/DescriptionOfBusiness,897,/1/18120/2023/BusinessRisks,6327,/1/18120/2023/BusinessPolicyEtc,6424,/1/18120/2023/EdinetInfo,969
18130,E00097,株式会社不動テトラ,S100R32V,120,2023-06-26 09:17:00,2022-04-01,2023-03-31,有価証券報告書－第77期(2022/04/01－2023/03/31),/1/18130/2023/DescriptionOfBusiness,443,/1/18130/2023/BusinessRisks,3749,/1/18130/2023/BusinessPolicyEtc,3787,/1/18130/2023/EdinetInfo,974
18140,E00093,大末建設株式会社,S100R1DT,120,2023-06-23 16:00:00,2022-04-01,2023-03-31,有価証券報告書－第77期(2022/04/01－2023/03/31),/1/18140/2023/DescriptionOfBusiness,424,/1/18140/2023/BusinessRisks,2505,/1/18140/2023/BusinessPolicyEtc,842,/1/18140/2023/EdinetInfo,969
18150,E00065,鉄建建設株式会社,S100R8IC,120,2023-06-29 13:35:00,2022-04-01,2023-03-31,有価証券報告書－第82期(2022/04/01－2023/03/31),/1/18150/2023/DescriptionOfBusiness,863,/1/18150/2023/BusinessRisks,2029,/1/18150/2023/BusinessPolicyEtc,2022,/1/18150/2023/EdinetInfo,969
18200,E00060,西松建設株式会社,S100R536,120,2023-06-29 10:39:00,2022-04-01,2023-03-31,有価証券報告書－第86期(2022/04/01－2023/03/31),/1/18200/2023/DescriptionOfBusiness,539,/1/18200/2023/BusinessRisks,4258,/1/18200/2023/BusinessPolicyEtc,3338,/1/18200/2023/EdinetInfo,968
18210,E00085,三井住友建設株式会社,S100R6TK,120,2023-06-29 15:30:00,2022-04-01,2023-03-31,有価証券報告書－第20期(2022/04/01－2023/03/31),/1/18210/2023/DescriptionOfBusiness,305,/1/18210/2023/BusinessRisks,8107,/1/18210/2023/BusinessPolicyEtc,3605,/1/18210/2023/EdinetInfo,981
18220,E00095,大豊建設株式会社,S100R8L3,120,2023-06-29 14:02:00,2022-04-01,2023-03-31,有価証券報告書－第74期(2022/04/01－2023/03/31),/1/18220/2023/DescriptionOfBusiness,431,/1/18220/2023/BusinessRisks,1622,/1/18220/2023/BusinessPolicyEtc,2350,/1/18220/2023/EdinetInfo,969
18260,E00121,佐田建設株式会社,S100R1RX,120,2023-06-28 09:28:00,2022-04-01,2023-03-31,有価証券報告書－第74期(2022/04/01－2023/03/31),/1/18260/2023/DescriptionOfBusiness,265,/1/18260/2023/BusinessRisks,1028,/1/18260/2023/BusinessPolicyEtc,1999,/1/18260/2023/EdinetInfo,968
18270,E00105,株式会社ナカノフドー建設,S100R9JL,120,2023-06-30 11:11:00,2022-04-01,2023-03-31,有価証券報告書－第81期(2022/04/01－2023/03/31),/1/18270/2023/DescriptionOfBusiness,662,/1/18270/2023/BusinessRisks,1033,/1/18270/2023/BusinessPolicyEtc,1079,/1/18270/2023/EdinetInfo,992
18280,E00242,田辺工業株式会社,S100R82V,120,2023-06-29 13:33:00,2022-04-01,2023-03-31,有価証券報告書－第55期(2022/04/01－2023/03/31),/1/18280/2023/DescriptionOfBusiness,1239,/1/18280/2023/BusinessRisks,2430,/1/18280/2023/BusinessPolicyEtc,4850,/1/18280/2023/EdinetInfo,969
18320,E01855,北海電気工事株式会社,S100R7MT,120,2023-06-30 09:35:00,2022-04-01,2023-03-31,有価証券報告書－第83期(2022/04/01－2023/03/31),/1/18320/2023/DescriptionOfBusiness,381,/1/18320/2023/BusinessRisks,1077,/1/18320/2023/BusinessPolicyEtc,1503,/1/18320/2023/EdinetInfo,980
18330,E00083,株式会社奥村組,S100QZIS,120,2023-06-29 14:56:00,2022-04-01,2023-03-31,有価証券報告書－第86期(2022/04/01－2023/03/31),/1/18330/2023/DescriptionOfBusiness,501,/1/18330/2023/BusinessRisks,2385,/1/18330/2023/BusinessPolicyEtc,1679,/1/18330/2023/EdinetInfo,963
